iter	Passed	Remaining
0	154	154490
1	157	78748
2	160	53357
3	163	40663
4	166	33058
5	168	27990
6	171	24350
7	174	21618
8	177	19499
9	179	17804
10	182	16414
11	185	15300
12	188	14332
13	191	13483
14	194	12747
15	196	12101
16	199	11537
17	202	11032
18	204	10580
19	207	10171
20	210	9823
21	213	9507
22	216	9212
23	219	8940
24	222	8688
25	225	8447
26	228	8222
27	230	8014
28	233	7816
29	236	7633
30	238	7463
31	241	7308
32	244	7163
33	247	7022
34	249	6886
35	252	6761
36	255	6656
37	259	6557
38	261	6449
39	264	6346
40	267	6247
41	269	6157
42	272	6068
43	275	5982
44	278	5901
45	280	5823
46	283	5752
47	286	5680
48	289	5610
49	291	5537
50	293	5457
51	295	5380
52	297	5309
53	299	5246
54	301	5172
55	302	5099
56	303	5028
57	305	4959
58	306	4892
59	307	4823
60	308	4756
61	310	4692
62	311	4630
63	312	4570
64	313	4512
65	314	4455
66	315	4397
67	316	4335
68	317	4280
69	318	4227
70	319	4175
71	320	4125
72	320	4075
73	321	4027
74	322	3981
75	323	3936
76	324	3893
77	325	3850
78	326	3809
79	327	3768
80	328	3729
81	329	3690
82	330	3653
83	331	3616
84	332	3576
85	333	3541
86	333	3503
87	334	3470
88	335	3436
89	336	3404
90	337	3373
91	338	3341
92	339	3312
93	340	3282
94	341	3254
95	342	3225
96	343	3197
97	344	3170
98	345	3143
99	346	3118
100	347	3092
101	347	3063
102	348	3038
103	349	3013
104	350	2989
105	351	2966
106	352	2942
107	353	2919
108	354	2897
109	355	2875
110	356	2853
111	357	2833
112	358	2812
113	359	2792
114	360	2772
115	360	2751
116	361	2731
117	362	2712
118	363	2692
119	364	2674
120	365	2655
121	366	2637
122	367	2616
123	368	2600
124	369	2583
125	369	2566
126	370	2549
127	371	2530
128	372	2514
129	373	2499
130	374	2483
131	375	2468
132	376	2453
133	377	2438
134	378	2423
135	379	2409
136	380	2395
137	381	2379
138	382	2367
139	383	2354
140	384	2341
141	385	2328
142	386	2315
143	387	2302
144	388	2289
